Sample,SMILES,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Type,Predicted Zeta (mV),Predicted CA (deg),Ref
PHEMA,C=C(C)C(=O)OCCO,1.873508892783074,14.0,11.0,20.0,Lys,-12.175052,47.9549804,https://pubs.acs.org/doi/10.1021/la302738s
PMOEMA,C=C(C)C(=O)OCCOC,83.83706403198936,14.0,11.0,20.0,Lys,-9.032789,60.93783729,https://pubs.acs.org/doi/10.1021/la302738s
PAA,O=C(O)C=C,36.00655028460431,14.0,11.0,9.5,Lys,-4.711626,47.71226313,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,14.07798036054243,14.0,11.0,4.82,Lys,-7.177438,47.19183977,https://pubs.acs.org/doi/10.1021/la204542e
PAA,O=C(O)C=C,28.264796207688104,14.0,11.0,1.9,Lys,-7.177438,46.872762,https://pubs.acs.org/doi/10.1021/la204542e
PDMAEMA,C=C(C)C(=O)OCC[N+](C)C.[Cl-],89.00131630461725,14.0,11.0,13.8,Lys,16.319553,16.0009027,Exp
PDEAMEA,CC[N+](CC)CCOC(=O)C(C)=C.[Cl-],160.55187800653908,14.0,11.0,16.6,Lys,8.157993,39.72595663,Exp
PDIPAEMA,CC(C)[N+](CCOC(=O)C(C)=C)C(C)C.[Cl-],223.4518254438694,14.0,11.0,19.5,Lys,7.166369,65.9019757,Exp
PHEMA ,C=C(C)C(=O)OCCO,37.92309050052679,340.0,5.8,16.822,Fib,-12.367573,47.56197349,Nagasawa
PmOEGMA,C=C(C)C(=O)OCCOCCOCCOCCOC,15.289733217578483,340.0,5.8,17.9,Fib,-8.504514,51.628971,Nagasawa
PCBMA ,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-],4.082711453282018,340.0,5.8,19.38733333,Fib,-8.906415,19.46224107,Nagasawa
PMPC ,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C,0.0,340.0,5.8,12.49,Fib,-1.2724454,12.31850893,Nagasawa
PMPS,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+],257.780566492556,340.0,5.8,18.93,Fib,-51.27758,13.96648194,Nagasawa
PHEMA,C=C(C)C(=O)OCCO,579.2628521049496,340.0,5.8,22.4,Fib,-15.430634,48.25423063,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PHEMA,C=C(C)C(=O)OCCO,125.41313777690327,340.0,5.8,40.1,Fib,-9.8282795,50.50632499,https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198
PNMEP,C=C(C)C(=O)OCCN1CCCC1=O,68.31824133907277,340.0,5.8,50.0,Fib,-12.517403,25.85778109,https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202101717
